state,,name,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
TAM,155603,"""Great Clips""",Las Vegas,TAM,89130,36.2711136165,-115.20740259,4.0,12,1,Hair Salons;Beauty & Spas
VA,80956,"""Subway""",Henderson,VA,27536,36.597704441,-78.1475605017,4.0,3,1,Restaurants;Sandwiches;Fast Food
VS,44939,"""Emiliana""",Casablanca,VS,,-33.401111,-71.115401,5.0,3,1,Food;Wineries;Beer;Wine & Spirits;Arts & Entertainment
VT,34920,"""Ransom Bay Inn B & B""",Alburg,VT,05440,44.953815000000006,-73.2705,5.0,5,1,Bed & Breakfast;Hotels & Travel;Hotels;Event Planning & Services
WA,5257,"""Spa Alexis Massage & Bodywork""",Houston,WA,77056,29.7358298,-95.46763320000001,4.0,4,0,Day Spas;Medical Spas;Health & Medical;Massage Therapy;Beauty & Spas;Massage
WHT,159672,"""Al Settimo Arte - La Carpe""",Saint-sauveur,WHT,7912,50.70827,3.5981199999999998,3.0,4,1,Pizza;Italian;Restaurants
WI,142678,"""CloneMyKey""",Madison,WI,53703,43.0707302,-89.3831443,5.0,131,1,Professional Services;Security Services;Home Services;Keys & Locksmiths
WLN,66683,"""The Jupiter Artland""",Kirknewton,WLN,EH27 8BB,55.9095441,-3.4116352999999995,5.0,8,1,Community Service/Non-Profit;Local Services
XGL,142651,"""Costa Coffee""",Edinburgh,XGL,EH12 9DN,55.9483321333,-3.3641292999999997,4.5,6,1,Food;British;Coffee & Tea;Restaurants
ZET,156754,"""Nando's""",Edinburgh,ZET,EH1 3AA,55.9563921071,-3.1862251311,3.5,4,1,Restaurants;Chicken Wings;Portuguese
